City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Phitsanulok,TH,83.48,scattered clouds,16.9167,100.5,บ้านโนบิตะ พิษณุโลก
224,Faanui,PF,81.91,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
228,Coahuayana,MX,73.47,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
229,Abu Dhabi,AE,73.42,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
232,Dalby,AU,79.5,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
233,Jutai,BR,71.65,overcast clouds,-5.1833,-68.9,
234,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
235,Tessalit,ML,70.21,overcast clouds,20.1986,1.0114,
238,Conde,BR,78.26,clear sky,-7.2597,-34.9075,Pousada Beija Flor
239,Birao,CF,76.93,few clouds,10.2849,22.7882,
242,Ambilobe,MG,87.48,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
244,Champerico,GT,79.36,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
246,Wajir,KE,76.96,light intensity drizzle,1.7471,40.0573,Al-bustan Hotel And Restaurant.
248,Grand-Santi,GF,72.03,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
249,Tabuk,PH,71.2,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
252,Cururupu,BR,75.72,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
254,Poum,NC,82.04,few clouds,-20.2333,164.0167,Gîte kajeon
257,Waingapu,ID,80.8,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
258,Alofi,NU,80.49,light rain,-19.0595,-169.9187,Taloa Heights
260,Ilheus,BR,76.64,overcast clouds,-14.7889,-39.0494,Barravento Hotel
261,Fare,PF,82.15,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
264,Samarai,PG,85.57,overcast clouds,-10.6167,150.6667,Nuli Sapi
267,Oussouye,SN,71.02,clear sky,12.485,-16.5469,Auberge du Routard
268,Omboue,GA,78.03,overcast clouds,-1.5746,9.2618,Hotel Olako
270,Desterro,BR,71.08,broken clouds,-7.2906,-37.0939,HOTEL ENTRE RIOS
272,Bethlehem,BR,78.84,clear sky,-1.4558,-48.5044,Mercure Belém Boulevard Hotel
276,Manadhoo,MV,81.46,few clouds,5.7667,73.3833,Reason Inn
282,Oranjestad,AW,81.01,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
283,Porto Walter,BR,71.01,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
284,Meulaboh,ID,83.46,broken clouds,4.1363,96.1285,Kost Pria
285,Jalingo,NG,75.74,broken clouds,8.8833,11.3667,Debright Motel
286,Balkanabat,TM,75.58,scattered clouds,39.5108,54.3671,Nebitchi Hotel
289,Bubaque,GW,80.85,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
295,Porbandar,IN,75.18,haze,21.6422,69.6093,Lords Inn Porbandar
296,Biak,ID,82.99,overcast clouds,-0.9131,122.8766,Penginapan Kim
297,Richards Bay,ZA,73.2,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
299,Mattru,SL,73.22,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
302,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
303,Taki,IN,80.55,clear sky,22.5861,88.9214,Bisram Bagan Bari Taki
305,Grand-Lahou,CI,78.76,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
311,Anantapur,IN,79.77,scattered clouds,14.6833,77.6,Ashoka Lodge
313,Eyl,SO,82.11,overcast clouds,7.9803,49.8164,Amiin Hotel
315,Hervey Bay,AU,84.31,light rain,-25.2986,152.8535,Shelly Bay Resort
316,Pajapan,MX,71.13,overcast clouds,18.25,-94.7,Hotel Del Carmen
317,Sao Joao Da Barra,BR,73.42,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
318,Isangel,VU,78.91,overcast clouds,-19.55,169.2667,Tanna Lodge
319,Kahului,US,77.85,light rain,20.8947,-156.47,Maui Seaside Hotel
320,Sao Filipe,CV,73.54,overcast clouds,14.8961,-24.4956,Hotel Xaguate
321,Mumford,GH,78.87,overcast clouds,5.2618,-0.759,Spanish Villa
322,Takoradi,GH,78.98,overcast clouds,4.8845,-1.7554,Raybow International Hotel
324,Gizo,SB,83.32,light rain,-8.103,156.8419,Imagination Island
325,Ratnagiri,IN,78.4,overcast clouds,16.9833,73.3,Hotel Landmark
329,Sembe,CG,73.04,broken clouds,1.6481,14.5806,
331,Saint-Joseph,RE,81.21,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
334,Praya,CV,72.14,few clouds,14.9215,-23.5087,LT Aparthotel
335,Dhidhdhoo,MV,81.72,broken clouds,6.8833,73.1,Dhidhoo beach
